Year,Planted (1000 Acres),Harvested (1000 Acres),Yield (Pounds/ Harvested Area),Average Temperature Value,Average Temperature Anomaly,Maximum Temperature Value,Maximum Temperature Anomaly,Minimum Temperature Value,Minimum Temperature Anomaly,Precipitation Value,Precipitation Anomaly,Cooling Degree Days Value,Cooling Degree Days Anomaly,Heating Degree Days Value,Heating Degree Days Anomaly,Palmer Drought Severity Index (PDSI) Value,Palmer Drought Severity Index (PDSI) Anomaly,Palmer Hydrological Drought Index (PHDI) Value,Palmer Hydrological Drought Index (PHDI) Anomaly,Palmer Modified Drought Index (PMDI) Value,Palmer Modified Drought Index (PMDI) Anomaly,Palmer Z-Index Value,Palmer Z-Index Anomaly
1975,385,370,406,66.825,1.566666667,75.06666667,2.266666667,54.56666667,2.866666667,7.23,,142.25,,224.9166667,-1.083333333,8.161666667,6.840833333,,4.684166667,6.1325,5.821666667,4.8575,2.718333333
1975,700,680,486,63.875,2.225,73.80833333,1.208333333,52.975,3.258333333,,4.125,128.8333333,-15.33333333,299.25,8.75,6.674166667,6.331666667,5.414166667,4.894166667,5.098333333,3.68,1.5375,3.3825
1975,,268,1028,61.89166667,-0.733333333,74.48333333,-0.291666667,45.28333333,0.85,4.846666667,3.821666667,209.4166667,-37.5,211.1666667,43.41666667,0.584166667,0.403333333,1.584166667,0.375,1.140833333,2.805,3.648333333,0.893333333
1975,900,875,1074,,-0.383333333,72.7,-0.466666667,46.825,1.691666667,5.745,2.918333333,51.75,-20.58333333,303.0833333,,2.65,4.479166667,1.613333333,4.324166667,1.405,2.100833333,3.068333333,2.3225
1975,4,4,347,73.20833333,4.133333333,83.98333333,2.308333333,64.40833333,2.941666667,8.595833333,4.125,287.8333333,-1,49.91666667,-6.666666667,1.191666667,1.801666667,4.085,1.7625,2.155,1.778333333,3.239166667,3.455833333
1975,165,160,447,65.71666667,0.841666667,,1.65,54.35833333,1.058333333,6.1125,1.939166667,128.6666667,-12.08333333,234.0833333,-4.083333333,6.935833333,5.2525,6.935833333,7.194166667,3.911666667,7.223333333,,4.378333333
1975,0,0,0,52.98333333,3.733333333,63.75,,46.225,3.116666667,6.395833333,4.06,71.41666667,1.166666667,525,6.166666667,3.544166667,1.6525,3.165833333,4.084166667,2.876666667,2.9725,1.561666667,1.236666667
1975,0,0,0,55.725,,69.225,2.925,45.20833333,0.958333333,6.180833333,1.83,117.1666667,-5.416666667,437.5833333,19.75,2.863333333,2.080833333,2.4175,1.554166667,2.158333333,1.339166667,2.283333333,2.0475
1975,1,1,261,58.775,3.891666667,68.38333333,2.541666667,49.15,3.208333333,6.745833333,3.588333333,94.83333333,-4.166666667,377.1666667,0.583333333,6.468333333,5.6275,5.468333333,3.4625,5.199166667,3.3625,,2.799166667
1975,320,310,537,70.08333333,1.375,80.56666667,0.333333333,,0.416666667,9.563333333,,197.5833333,-20.75,142.25,-2.75,5.825,6.616666667,5.475833333,5.0525,5.298333333,6.026666667,2.066666667,2.9175
1975,220,210,453,,3.716666667,69.50833333,,44.76666667,2.708333333,5.485833333,1.931666667,105.5833333,1.416666667,430.5,4.916666667,3.8625,2.8575,3.090833333,3.058333333,4.47,1.569166667,2.283333333,1.98
1975,"1,140","1,100",456,67.29166667,1.483333333,77.31666667,2.25,53.28333333,3.75,8.710833333,4.804166667,160.8333333,-18.41666667,203.5,-3.083333333,4.3575,6.776666667,7.129166667,4.321666667,8.078333333,7.468333333,5.356666667,2.118333333
1975,56,53,415,63.33333333,1.15,72.475,2.2,52.2,1.1,,1.623333333,113.75,-2.833333333,282.0833333,-3.25,3.423333333,6.533333333,4.423333333,4.473333333,5.2375,6.3175,4.903333333,3.910833333
1975,95,85,385,53.35,0.425,69.74166667,-0.183333333,36.975,-0.95,2.078333333,1.901666667,54,-24.25,439.1666667,59.08333333,5.820833333,3.079166667,3.4225,6.754166667,6.07,6.3225,1.463333333,1.596666667
1975,1,1,725,51.25,-0.408333333,63.33333333,-0.833333333,38.15833333,2.016666667,3.885,4.020833333,154.5833333,-22.58333333,338.9166667,44.25,2.288333333,3.0275,4.21,3.820833333,5.300833333,4.865,4.6775,3.8775
1975,360,295,280,60.66666667,,74.6,0.583333333,50.725,0.808333333,4.966666667,0.993333333,138.5,-20.5,319.5833333,,6.691666667,4.004166667,6.799166667,3.985833333,5.505833333,4.800833333,4.6975,2.455833333
1975,107,103,457,64.14166667,2.125,77.41666667,2.983333333,55.89166667,4.308333333,7.8525,1.855,154.4166667,-3.166666667,212.75,-6.83333333,4.608333333,4.904166667,6.608333333,3.784166667,4.52,5.721666667,2.139166667,2.195
1975,335,315,343,60.80833333,3.766666667,69.81666667,1.658333333,47.78333333,2.883333333,7.2,4.650833333,106.75,-8,319.4166667,-0.25,7.655833333,4.856666667,6.655833333,6.708333333,6.339166667,6.551666667,2.045,
1975,"4,350","3,900",296,,0.466666667,80.425,,53.14166667,-0.841666667,5.2725,3.920833333,195.4166667,-30,166.1666667,5.916666667,4.6525,5.714166667,7.9925,,,6.619166667,4.848333333,2.798333333
1975,1,1,345,57.425,3.841666667,67.24166667,1.675,47.54166667,1.95,8.338333333,3.589166667,85.75,-5.5,366.0833333,3.25,3.410833333,3.185833333,5.410833333,,3.234166667,3.92,2.1725,5.040833333
1976,440,420,400,64.675,,73.89166667,1.091666667,49.40833333,,7.665,2.9,120.6666667,-35.83333333,274.9166667,45.91666667,6.0875,4.766666667,4.0875,4.61,3.723333333,4.4125,1.408333333,1.269166667
1976,"1,125",950,393,61.75,,74.63333333,2.033333333,49.875,0.158333333,4.419166667,0.089166667,111.0833333,-34.08333333,315.1666667,24.66666667,0.513333333,0.170833333,1.995,0.475,2.575,2.156666667,3.684166667,0.529166667
1976,341,340,1180,59.96666667,1.341666667,77.475,2.7,47.475,0.041666667,1.968333333,,214.1666667,-33.75,184.5,15.75,0.04,0.859166667,2.118333333,0.909166667,3.385,1.049166667,1.693333333,1.938333333
1976,"1,130","1,120",1066,61.475,2.825,,3.341666667,46.4,-0.733333333,4.979166667,1.1525,57.25,-16.08333333,254.0833333,13.91666667,-1.214166667,-0.385,-1.214166667,1.496666667,-0.960833333,-0.265,0.476666667,2.730833333
1976,7,7,517,,-1.1,81.99166667,1.316666667,60.95833333,-1.508333333,6.3025,3.831666667,248.75,-42.08333333,75.75,19.16666667,2.976666667,1.586666667,,2.965,4.0575,4.680833333,2.2425,4.459166667
1976,255,240,402,63.475,1.6,74.65,-0.775,51.31666667,-1.983333333,8.634166667,2.460833333,105.9166667,-32.83333333,281.5,42.33333333,2.694166667,5.010833333,4.110833333,5.369166667,2.825833333,4.1375,5.004166667,3.076666667
1976,0,0,0,54.375,,63.775,0.383333333,40.95,0.841666667,4.378333333,3.0425,62.58333333,-12.66666667,569.75,,3.060833333,1.169166667,1.383333333,0.301666667,2.119166667,,2.165,1.84
1976,0,0,0,55.2,0.433333333,70.94166667,1.641666667,44.45833333,2.208333333,5.75,3.399166667,110.4166667,-9.16666667,427.75,12.91666667,3.3,0.5175,0.3,2.436666667,0.334166667,2.515,3.348333333,3.1125
1976,2,1,261,55.325,0.441666667,69.11666667,-0.725,45.525,-2.416666667,5.540833333,1.383333333,69.41666667,-30.58333333,425.6666667,,4.533333333,3.6925,3.9275,2.921666667,4.29,3.453333333,2.123333333,1.791666667
1976,570,560,475,67.33333333,-1.375,76.75833333,0.525,53.94166667,0.725,5.125833333,2.146666667,177.3333333,-43,178.5833333,34.58333333,3.601666667,0.393333333,3.67,1.246666667,3.6,0.328333333,1.7475,0.598333333
1976,305,260,308,56.625,2.7,66.80833333,1.016666667,45.39166667,1.333333333,5.38,0.825833333,90.25,-12.91666667,451.4166667,26.83333333,2.533333333,-1.471666667,-0.466666667,0.500833333,1.6025,1.701666667,-0.0075,2.689166667
1976,"1,530","1,470",380,62.40833333,1.6,76.56666667,0.5,53.28333333,-2.25,5.183333333,3.276666667,140.3333333,-33.91666667,242.5833333,39,0.49,-0.090833333,3.805,1.9975,4.68,3.07,0.85,
1976,,71,491,59.3,2.116666667,70.28333333,2.008333333,48.31666667,-0.783333333,4.829166667,3.6575,90.08333333,-25.5,320.25,31.91666667,3.226666667,4.336666667,0.763333333,0.813333333,1.134166667,2.214166667,3.8725,2.88
