Year,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),NITROGEN CONSUMPTION (tons),PHOSPHATE CONSUMPTION (tons),POTASH CONSUMPTION (tons),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha)
1990,0,0,0,903.31,130.36,104.08,112.64,,12.75,498.96,627.26,129.12,31003,9306,1383,41684,85.21
1990,7,3,3333,1451.3,535.76,202.15,126.13,7.82,17.86,511.69,646.47,127.3,36622,6835,1363,44809,90.08
1990,49,238,4944,1083.84,327.24,84.49,113.25,30.71,23,448.8,698.74,160.64,,21088,7882,,303.24
1990,26,120,4964,780.54,85.19,50.32,93.54,27.32,43.99,447.61,627.21,143.94,109664,37972,18271,165898,375.97
1990,996,289,2892,883.69,68.4,66.33,114.89,22.17,36.84,505.26,736.47,150.33,88821,37910,,139778,
1990,16104,869,5371,1922.29,367.56,111.82,213.28,,80.75,888.19,,133.72,138586,55160,22460,216196,248.23
1990,7747,1317,1701,2035.28,392.05,126.76,127.68,17.55,158.36,1009.68,1110.24,,46619,29718,8890,85223,85.65
1990,27,46,1681,1539.84,508.5,,,22.44,120.66,386.29,422.78,110.81,,16010,5082,54096,143.5
1990,0,0,0,1501.77,457.36,168.95,143.05,41.8,112.27,474.3,512.98,109.54,22615,9787,3221,35618,78.25
1990,3,0,0,786.17,0,35.81,154.78,,9.7,518.97,794.86,155.56,0,0,0,0,0
1990,4,0,0,851.97,0,11.88,180.82,6.41,9.6,556.28,850.86,156.15,0,0,0,0,0
1990,0,0,0,406.16,0,37.06,71.29,4.55,16.58,251.54,375.21,153.96,0,0,0,0,0
1990,0,0,0,1068.02,4.08,54.22,176.78,6.11,30.97,661.93,,,0,0,0,0,0
1990,0,0,0,694.01,0,,91.88,4.61,16.76,510.5,834.65,165.75,0,0,0,0,0
1990,0,0,0,552.15,6.71,18.7,107.68,4.67,4.68,394.7,555.54,142.68,0,0,0,0,0
1990,0,0,0,972.76,138.82,84.64,142.88,5.7,47.93,461.1,638.69,139.25,0,0,0,0,0
1990,5,5,3332,561.92,49.39,67.81,92.35,5.42,24.28,272.01,328.87,123.88,0,0,0,0,0
