State Name,SOIL TYPE PERCENT (Percent),Year_Rainfall,ANNUAL NORMAL RAINFALL (Millimeters)
Chhattisgarh,LOAMY ALFISOLS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,1277
Chhattisgarh,LOAMY ALFISOL - 100%,Average 30 years,1535
Chhattisgarh,USTALF/USTOLLS - 50% ; LOAMY ALFISOLS - 25% ; VERTISOLS - 15%,Average 30 years,1388
Chhattisgarh,USTALF/USTOLLS - 100%,Average 30 years,1327
Chhattisgarh,USTALF/USTOLLS - 100%,Average 30 years,1628
Chhattisgarh,USTALF/USTOLLS - 100%,Average 30 years,1406
Madhya Pradesh,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,1447
Madhya Pradesh,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,1474
Madhya Pradesh,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,1094
Madhya Pradesh,VERTISOLS - 80% ; VERTIC SOILS - 20%,Average 30 years,1690
Madhya Pradesh,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,1447
Madhya Pradesh,VERTIC SOILS - 85% ; VERTISOLS - 15%,Average 30 years,1425
Madhya Pradesh,VERTIC SOILS - 50% ; VERTISOLS - 50%,Average 30 years,1395
Madhya Pradesh,VERTIC SOILS - 60% ; VERTISOLS - 40%,Average 30 years,1218
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1100
Madhya Pradesh,VERTIC SOILS - 80% ; INCEPTISOLS - 20%,Average 30 years,1044
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1186
Madhya Pradesh,VERTIC SOILS - 60% ; INCEPTISOLS - 25% ; USTALF/USTOLLS - 15%,Average 30 years,1079
Madhya Pradesh,USTALF/USTOLLS - 75% ; VERTIC SOILS - 25%,Average 30 years,1174
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1138
Madhya Pradesh,VERTIC SOILS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,1335
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,900
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1179
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1222
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,973
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,927
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1148
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1054
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1078
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1088
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,962
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1079
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,915
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,768
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,888
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,961
Madhya Pradesh,VERTIC SOILS - 60% ; VERTISOLS - 40%,Average 30 years,1169
Madhya Pradesh,VERTIC SOILS - 80% ; VERTISOLS - 20%,Average 30 years,1595
Madhya Pradesh,VERTIC SOILS - 60% ; VERTISOLS - 40%,Average 30 years,1331
Madhya Pradesh,VERTIC SOILS - 85% ; VERRTISOLS - 15%,Average 30 years,1129
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1157
Madhya Pradesh,VERTIC SOILS - 90% ; VERTISOLS - 10%,Average 30 years,1117
Madhya Pradesh,VERTIC SOILS - 100%,Average 30 years,1385
Andhra Pradesh,ORTHIDS - 100%,Average 30 years,1104
Andhra Pradesh,ORTHIDS - 50% ; SANDY ALFISOL - 50%,Average 30 years,975
Andhra Pradesh,ORTHIDS - 65% ; SANDY ALFISOL - 35%,Average 30 years,1088
Andhra Pradesh,ORTHIDS - 50% ; SANDY ALFISOL - 50%,Average 30 years,1062
Andhra Pradesh,ORTHIDS - 50% ; LOAMY ALFISOLS - 50%,Average 30 years,1065
Andhra Pradesh,ORTHIDS - 40% ; VERTISOLS - 30% ; SANDY ALFISOL - 30%,Average 30 years,704
Andhra Pradesh,ORTHIDS - 60% ; SANDY ALFISOL - 40%,Average 30 years,1058
Andhra Pradesh,SANDY ALFISOL - 60% ; VERTIC SOILS - 40%,Average 30 years,605
Andhra Pradesh,SANDY ALFISOL - 100%,Average 30 years,497
Andhra Pradesh,SANDY ALFISOL - 100%,Average 30 years,748
Andhra Pradesh,SANDY ALFISOL - 80%; ORTHIDS - 20%,Average 30 years,697
Telangana,SANDY ALFISOL - 100%,Average 30 years,704
